Callsign,Origin,Destination,Aircraft
,AMM,EBH,B736
,BWT,DPO,Unknown
,TRS,BLQ,P28A
,NCY,CMF,B429
,GJL,NUE,CL60
,AGP,VLC,C56X
,LHR,ARN,A21N
,SJJ,KRK,E195
,LPA,CPH,B738
,CIA,URO,C56X
,ATH,BJZ,A20N
,BGO,TOS,E290
,KTW,MXP,B738
,PRG,KTW,B738
,ZHI,ZIN,P28A
,KUT,IST,B739
,SAW,YEI,B38M
,GNB,LBG,CL35
,AGP,LTN,CL35
,CNI,TAE,B738
,AMM,ORD,B788
,FUO,HKG,A332
,NAY,HDG,B738
,CAN,HUZ,A20N
,LAX,MEL,A388
,NSV,BNE,C182
,PER,YLG,A320
,NAC,BNE,B738
,BWU,PQQ,C208
,CCU,TIR,A21N
,ATQ,BLR,A20N
,VTZ,CDP,A20N
,FUK,DMK,A21N
,ELT,XXN,A320
,IST,LVP,B77W
,MZH,SXI,A359
,SHJ,BND,A320
,CGK,BTH,B739
,GCW,VNY,GLF4
,GNV,TCB,F2TH
,BLD,DMA,RV14
,KSC,LAX,B78X
,LGA,BNA,E75L
,PVU,TCC,C501
,AHN,OLV,BE58
,BNA,ILG,H25B
,RDU,CVG,CRJ9
,ICT,MDW,A321
,LAL,RMG,BE95
,IWS,FTW,TBM8
,ICL,CBF,P28R
,CGZ,MSC,AS50
,LBT,DFW,E75L
,ASE,DAY,GLF4
,SLT,CNE,PA46
,APC,MHR,TB20
,AZA,PHX,HUSK
,PNS,SUA,H25B
,BEH,AYS,CL35
,TUP,DNV,CL60
,GGE,MIA,B38M
,BHM,CUB,SR22
,UDD,PSP,EC35
,PGO,RBD,C340
,MCI,IND,B738
,GUY,PBF,BE35
,SJU,OPF,E55P
,FLL,EWR,GLF4
,MQY,USA,PA31
,LGA,ILM,E75L
,IWS,GLS,P28A
,CRG,WRB,PA32
,FXE,BHM,C650
,RUI,BOI,AS50
,HMT,SEE,S2T
,INT,ORD,A320
,FYV,MPJ,C25A
,GLB,TRM,C172
,AIZ,FWA,CRJ2
,PHX,STP,E55P
,BGR,DMN,CL35
,SSI,SCH,A320
,ALS,AXX,C180
,EGE,PIT,GLEX
,SYR,PTK,FA20
,LAS,GWO,H25B
,EDE,FRG,E35L
,CPM,LGB,C172
,MIA,YNG,B738
,CDN,CTZ,A321
,PLS,LVM,C68A
,RBK,GYR,Unknown
,LWB,OKC,CRJ7
,SMF,SAC,C172
,FLL,HBB,B39M
,VRB,MTN,P46T
,LJN,BZT,ULAC
,CFD,CLL,PA27
,TYR,GGG,ASTR
,ICT,DFW,A319
,TEX,DAL,B738
,DEN,AUS,B38M
,LAS,MIO,B38M
,DTW,AUS,B38M
,HOU,OAK,C510
,OCF,TPF,SREY
,DFW,MSY,B738
,EWR,JFK,A321
,FLL,EKX,B737
,LYO,LAX,A321
,NCE,YQB,LJ45
,WSZ,CHC,A320
,NPL,PMR,AT76
,MCO,TUR,C650
,APQ,CUN,B38M
,SCL,AEP,A20N
,BXK,DMN,Unknown
,BXS,RBK,Unknown
,SBD,BXS,Unknown
,GMZ,CDG,B38M
,ALG,BUJ,B736
,CCX,VSA,A20N
,CJS,LAS,Unknown
,QSN,NEV,H25B
,LBG,CAI,FA8X
,APY,TAM,B748
,BUD,VIE,E195
,WRO,NCE,B738
,MXP,INI,B738
,ESB,IST,B739
,OGU,CGN,B38M
,VCE,RMI,B38M
,EMA,BUD,A306
,ZRH,VIE,F2TH
,FCO,NSY,B738
,BEG,QND,A21N
,TLL,OTP,BCS3
,KKM,PRH,AT76
,AQJ,RUH,A320
,KWJ,MWX,B739
,ICN,CND,A332
,RSU,CHF,A320
,RUH,ADJ,A20N
,AOR,KUL,A320
,HDG,FUO,A320
,PDX,HKG,B748
,TYN,TSN,A320
,HUZ,TPE,A320
,TYN,HDG,B738
,PEK,TSN,A21N
,MFM,HKG,A321
,BNE,SYD,B737
,LAX,SYD,A388
,BNE,MCY,C25C
,MEB,NRA,C525
,BOM,JAI,A21N
,COK,BLR,A20N
,KMJ,ITM,A320
,HND,FKS,Unknown
,OKA,FUK,B738
,HND,HDH,B789
,MMM,TPE,A359
,TNJ,SIQ,B733
,APF,VRB,E550
,SGU,MGM,E545
,MIA,ILM,E75L
,TPA,TLH,C750
,BZN,PCH,CL60
,CLT,HHH,E75L
,HDN,RIW,B738
,MSL,HUA,B06
,ANC,AQY,BE9L
,OPF,CHA,C25B
,SUU,SCK,C172
,CID,USC,A320
,HSH,CTW,P28R
,PDK,RDU,SR22
,CCY,MSP,A321
,BGT,RAL,C177
,BWL,ADS,RV10
,HLI,VIS,P28A
,SJC,SCF,C680
,SDF,DSM,B752
,OGG,ILN,B763
,STT,SJU,PC12
,AIV,TCL,C172
,PHL,LLY,P28A
,CDR,RAP,B407
,BTF,ZEL,PC12
,RVS,PWA,C172
,WRB,LNA,H500
,GVE,IAD,PC24
,FTW,OCF,ASTR
,KYO,BOW,C150
,CDV,ANC,B737
,EDE,HDN,A320
,AZO,ADS,C68A
,EDC,AFW,MM24
,HOU,LJN,C56X
,BNA,CCR,C680
,FRG,LXV,CL35
,GSO,DAN,P28A
,CLL,MFE,T206
,SLC,PSP,C680
,SCL,MIA,B772
,UPB,BUR,B737
,EDW,KIC,C700
,PHL,ZRH,B788
,STL,HRL,B738
,ODC,ORD,B738
,BOG,PRA,A20N
,UVA,BHM,C560
,CKB,PKB,E135
,POY,FTW,TBM9
,ANB,BIX,B712
,OAK,JAC,C25B
,HRL,DAA,B737
,GVL,CAP,B738
,HHH,GDT,A321
,SFH,YVR,B738
,YVR,YYZ,A321
,YPG,XPP,B732
,SDU,GIG,R44
,LAZ,MYG,B38M
,JHF,UDI,GLEX
,FLN,UBT,Unknown
,SCL,SSD,A20N
,LUF,BXK,Unknown
,CRS,TRL,Unknown
,SMO,BUR,Unknown
,DSS,TUD,B738
,BJI,GVT,A35K
,REX,MTY,PC12
,IZT,SNA,B38M
,ZIA,SUH,IL76
,CRA,RBA,B789
,AGA,TFL,B748
,XCR,ZHI,A306
,HOQ,DTM,E55P
,SBH,ANU,C414
,SOF,MXP,B733
,DWC,BUD,F900
,DUB,EMA,B738
,CQM,MAD,PC12
,ESB,STR,B739
,TZX,ESB,B38M
,DUB,BNA,A21N
,GDN,KLR,B38M
,SUJ,SCV,A320
,VAR,KTW,B738
,LHE,BUP,B77W
,FKJ,TJH,A321
,HIN,OKJ,B738
,JHB,TEL,B738
,SUG,CYP,AT76
,NAY,PKX,A321
,ICS,LKO,B748
,CAN,PKX,B738
,PEK,PKX,B38M
,CAN,CNI,A21N
,CAN,HUZ,A359
,BNE,MKY,F100
,OGU,SYD,A388
,LKO,CNN,A20N
,OSN,SDJ,A320
,CXB,OUI,B789
,SQL,HWD,C172
,IAD,LNP,B737
,GYM,CYO,B38M
,DWC,JHB,E550
,STG,EWR,B789
,PHX,BOI,B737
,GFK,BIS,S22T
,DFW,ABI,E75L
,STS,DTH,TBM9
,OCH,POE,A321
,AUS,DAL,G280
,MTH,RSW,P32R
,ITH,FAM,A320
,PVW,SAT,C560
,AFW,ANW,GA5C
,DTW,GLH,A321
,TCS,DFW,B38M
,MTJ,WPO,SF50
,MMH,STS,PC12
,BNA,BTP,C56X
,PHX,DFW,A21N
,AVL,EVV,A21N
,CXO,RKR,M20P
,SEP,FWH,BE33
,PBI,IAD,C750
,UPP,LIH,GL7T
,MEM,SAN,C25A
,LGB,SEE,P28A
,MHR,HWD,SF50
,BZN,DEN,E75L
,APC,CCR,C172
,CGE,TTN,C172
,DTW,TVI,A320
,PBI,PWK,C68A
,ROC,PHL,E145
,LAS,IAD,B739
,CVG,LXV,CRJ7
,USA,LAL,B737
,ORD,SDF,CRJ7
,RFD,AUZ,T210
,TRL,RBD,C150
,MDH,CPS,S22T
,BTF,SJC,B737
,BNA,PVU,SF50
,REO,DFW,A319
,IML,BFK,SW4
,DBN,SLC,B738
,GAI,HII,B38M
,BOS,UGN,F900
,APV,CCB,C182
,BNA,VAD,TBM9
,MQW,SJC,B737
,CKV,HOP,C172
,SNS,SBP,Unknown
,CWX,FHU,C82T
,OTP,YYZ,B77L
,YMX,CMX,A319
,TIU,KBZ,PNR3
,SNZ,GIG,BE58
,LIP,VCP,A20N
,TFL,CNF,B38M
,SCL,BOG,A20N
,NZY,RIV,Unknown
,UDD,TRM,Unknown
,JNB,WEL,E190
,JSH,KLX,A359
,JSH,CAG,B77L
,SUH,ATL,A35K
,CEN,NLU,A21N
,LGR,WPA,Unknown
,JAW,FEZ,B748
,LEJ,STN,A306
,ZRH,FKB,E55P
,SUH,ATH,CL35
,SOF,VIE,E195
,LCA,ATH,A21N
,YYT,GVA,A319
,VXO,UME,C56X
,IST,BDM,B739
,LYN,OPF,GLEX
,TSR,CLJ,A320
,MAH,QSR,A21N
,MAQ,ALA,B39M
,JHB,TNJ,A320
,CJM,TOD,A320
,SZX,PKX,A321
,HKG,YAL,B77W
,FUO,SZX,A21N
,DFW,RBS,A388
,LST,MEL,B738
,BOM,IXC,A21N
,CDP,HYD,A21N
,FUK,KKJ,DH8D
,HND,AIN,B788
,HNL,HDH,B789
,KRR,THL,B789
,LOP,DPS,B739
,WRI,IND,E75L
,FWH,MWL,B14A
,BZN,MSY,CL60
,FTW,LAS,C560
,MAM,DFW,E75L
,ORD,PUC,A21N
,LEX,FSD,A320
,MFE,REX,B350
,SEA,EAR,B739
,TPA,DBN,A321
,AZA,LGF,C172
,ZZV,LAN,C25B
,PBI,ILM,BE58
,NQX,MFD,C68A
,LUF,BLH,C152
,PIE,FMY,P28R
,SAF,LAX,E75L
,SWO,PRX,BE36
,SBA,MMH,P210
,PBI,APA,ASTR
,DVT,HSH,P46T
,ADQ,ANC,BE20
,APF,PGL,BE95
,AND,MMI,C182
,MSP,MCO,B753
,STC,FCM,P210
,ATL,MCO,A320
,DVT,GYR,AS50
,BOS,SJU,A320
,LGA,CLT,A320
,BXK,AVW,C172
,OKM,DTL,B39M
,ATL,GSO,T210
,ATL,FTY,R44
,MTH,PHL,LJ60
,PNX,AFW,P28B
,DEN,SAT,B738
,CLT,AVL,P46T
,BOS,MDW,B38M
,DNL,LAS,B38M
,KNT,DVT,B38M
,AUS,RCK,Unknown
,ATL,LCH,B712
,TEB,ADR,C68A
,ALB,BNA,B737
,FLL,HWO,B738
,BOG,CUN,A320
,AHF,MHN,PC12
,TOA,LAX,BT36
,SKF,AFW,TEX2
,YYZ,YQK,A319
,GRU,SAO,BE9L
,CAC,POO,A20N
,MIA,QCH,B38M
,DIQ,QDF,A21N
,LOB,KNA,A20N
,JNI,FLN,A21N
,FNL,APA,Unknown
,LAX,OCN,Unknown
,CPT,VRU,E190
,JNB,QRA,A320
,NNA,RBA,A320
,ALG,BUJ,B772
,IAH,URY,A35K
,BOG,PYA,B738
,MEX,NLU,A21N
,JAL,TLC,C25B
,BOD,CMF,E50P
,LEJ,BYR,A306
,BZZ,NHT,R66
,PRX,FLI,A35K
,GVA,PRG,E195
,LBG,RTM,GLF4
,AUF,RNS,AT45
,ANK,BEY,B38M
,MLA,TEQ,GLEX
,PFO,POZ,B38M
,PFO,LXS,B738
,WMI,WAW,A21N
,HAM,SZG,C25A
,HKG,ZUH,A321
,MLT,TIV,B789
,XXN,RUH,B739
,DVO,UTP,A21N
,PKX,TYN,B734
,AYN,BFV,B738
,PEK,PKX,B748
,SJW,CAN,B738
,SZX,TYN,A321
,SZX,HUZ,GLF5
,SZX,CAN,A20N
,LPX,POZ,AURA
,YXS,FUJ,B77L
,KUT,TZX,A388
,MEL,AKL,A320
,ROK,WGA,B738
,BNE,INJ,PC12
,WAZ,TWB,C180
,DBD,BDQ,A21N
,OKO,HND,AS21
,KMI,KCZ,B738
,BUS,KOS,B789
,AUH,LVP,B77W
,TPE,KMJ,B78X
,LIV,FAI,C172
,APC,IAD,GLEX
,OWD,DFW,A321
,RIV,LNS,A321
,LZU,ORL,Unknown
,WPO,MTJ,B58T
,TPA,AUS,C310
,ELM,FSD,A320
,YKN,OPF,CL60
,HWD,COA,C182
,SAT,VEL,E55P
,AVX,VNY,C172
,TKF,CCR,S22T
,BFM,TYS,P32R
,BFL,RMY,P28A
,BNA,CMI,Unknown
,TBR,MGE,C414
,LAX,SFO,A320
,MAF,BRY,CRJ7
,FLL,CDK,E550
,WDR,PIE,SR22
,MYV,MCC,P28A
,VLE,PRC,C172
,BZT,LRD,FA20
,IAH,SNA,A320
,BIX,ORD,B739
,CLT,MYR,CRJ9
,CLT,UTM,E145
,PDX,MRY,E50P
,BXK,SFO,B739
,HVN,DAB,B737
,SFB,BTP,C560
,CXO,XNA,C414
,MTH,ZPH,PA24
,FLG,AZA,P28A
,WEA,FTW,C172
,BVU,MRI,C207
,FLL,LNR,E55P
,GSB,LCH,B39M
,AUS,MKC,COL3
,SAC,MCC,SR22
,JCT,DWH,F900
,PVU,BCT,CL35
,FPY,UCE,B738
,ONO,BOI,T210
,BNA,GUP,C560
,YMX,KTW,GLF4
,CCR,SCK,P28A
,VIS,FCH,AS50
,EMT,PRB,P180
,PBI,BED,C750
,SQA,SEE,AA1
,CXH,YCD,DH3T
,YUL,YXK,A333
,WLG,NPE,C172
,PPM,FLL,CL60
,POA,SOD,FA7X
,GNM,SOD,SR22
,SOD,TFL,B38M
,UBT,VCP,C208
,QNV,CGH,A20N
,WOW,FRN,Unknown
,CRS,RBD,Unknown
,CCB,ONT,Unknown
,JNB,ZEC,E190
,CPT,PRY,A320
,SOF,SKV,A20N
,PEK,JSH,B77L
,WIL,JNB,B738
,NLU,PAZ,C130
,MMI,TLC,B38M
,MXP,LEJ,A306
,LBG,AGP,C56X
,DVL,CND,A35K
,HAM,VIE,E195
,HBE,ATH,A21N
,FMM,AGP,B738
,LBG,STN,E55P
,TEQ,IST,B739
,MXP,BRI,B738
,IAD,CDN,B38M
,KRK,STN,B738
,VTZ,CDP,B738
,AOY,DHF,A20N
,TLV,ADJ,A20N
,LBU,KGU,A320
,SGL,DGT,A20N
,KIX,NRT,A21N
,OUI,CEI,B738
,CJM,PHY,A320
,DDG,HUZ,A320
,SZX,HUZ,A20N
,FUO,CAN,A21N
,PEK,DAT,AJ27
,HDG,ZUH,B38M
,TSV,CNS,SF34
,HYD,TIR,A21N
,MCT,BLR,B38M
,HND,TKS,B738
,KIX,PXR,A321
,KHH,TPE,A320
,IXC,IXR,B78X
,NOT,ARA,CL30
,SCF,TKF,Unknown
,MNZ,IAD,E45X
,TTN,UKT,EC35
,PHL,DFW,A321
,USA,DSM,BE40
,TWF,OGD,BE35
,LZU,RBD,PC12
,OCF,PBI,SR22
,BGE,IWS,PC12
,PHX,DEN,A21N
,PIT,ZPH,A320
,GCM,MMI,B350
,SRQ,PTK,CL60
,SJC,SEA,B739
,UCE,ODT,C182
,BNA,PHX,B38M
,FRG,ILG,P28A
,LBB,SLR,P46T
,IAH,FMY,B739
,CNA,MSC,BE20
,SAV,PMH,C750
,MRK,TPA,BE58
,MIA,NTD,A21N
,LAS,VNY,GLF4
,GYM,HMO,PC12
,BTV,PWK,PA46
,AVX,TTD,B739
,AFW,PTK,G150
,BNA,IAH,A320
,COA,RNO,BE58
,MCO,SCF,C68A
,OXR,NTD,RV7
,PBI,GVL,GLF4
,MCO,RSW,B752
,ROA,CHO,E145
,OPL,COE,B39M
,MIA,GRU,B77W
,GIG,PLU,C172
,PRC,LAS,CL30
,MCO,AYS,A320
,NRI,ANY,BE20
,DTW,BTV,CRJ9
,HND,FUJ,B764
,ADS,DFW,C175
,ORD,LHR,B789
,SAN,SQA,B738
,CLW,DEN,B738
,APH,NBG,B738
,MKO,OKM,C172
,SFB,SME,B712
,BKW,MDW,C68A
,OPF,ACT,F900
,TPA,HOU,B737
,OCH,MIA,B738
,MSN,ISM,LJ45
,FSM,HOT,TEX2
,YZE,SFO,BCS3
,DUD,WKA,C172
,WLG,AKL,A320
,PLU,BQQ,C56X
,FLN,KNA,A21N
,AFW,DFW,Unknown
,SMO,HHR,Unknown
,GIG,JIW,A35K
,WIL,KEU,B738
,EGE,SDM,FA50
,PEG,FCO,RV9
,BNO,TJH,B748
,KUT,ALG,A35K
,SOU,GCI,PC12
,BDS,LIN,C510
,PED,WRO,B738
,LPL,FAO,E55P
,BXO,ZIN,EC35
,KEF,ORD,B38M
,POY,FAB,GLEX
,SFS,MNL,A21N
,LZN,PEN,B738
,TYN,SZX,A320
,TYN,SJW,A320
,HDG,CNI,A20N
,MQL,CAN,A359
,CAN,TYN,A359
,MBW,SHT,BE36
,LTU,BOM,A20N
,SHJ,AHA,A320
,TSA,ANC,B77L
,TLH,MSY,E190
,CNM,OPF,B734
,SUS,SCF,C25B
,MUO,RNO,B58T
,CLU,DFI,B38M
,BLF,FBR,B38M
,HTV,DWH,C172
,BNA,SDF,E75L
,MLB,GRR,PC24
,RDD,RHV,TBM9
,SRW,IAH,BCS3
,TAD,OXR,E55P
,TEB,SFB,CL30
,AHN,GMU,COL4
,YKM,PHX,BCS3
,BOI,TWF,C180
,ODT,VNC,SR22
,BXK,RBK,P28B
,CNE,FNL,PA34
,ANQ,BKW,A21N
,PHX,RAP,C425
,LBB,FWH,C425
,SBA,CCB,P28A
,PHX,MSC,P28A
,RDM,HIO,PA44
,TRM,STP,BE40
,AUS,PBI,E55P
,COI,MLB,C172
,NEW,ESF,PA46
,LNA,PIE,SF50
,HSP,LAL,B763
,MHR,PVF,C182
,DFW,DCA,CRJ7
,SWS,BOH,C414
,BJC,FAR,CRJ7
,MIA,AYS,A321
,OLV,BNA,Unknown
,MCO,CLE,A320
,SEA,LAR,E75L
,RVS,BVO,P28A
,ENA,SXQ,C182
,BXK,GYR,SR20
,BUR,SBP,PC12
,BWI,MAC,A321
,LGC,AUO,C172
,ADS,RKR,S22T
,ELK,CLG,CL35
,SCF,TEB,CL60
,BZN,BEC,PC12
,OPF,OCF,B350
,BJC,FTY,CL30
,SRQ,HST,H25B
,HUA,ATL,B764
,MDW,DEN,B738
,DEN,ABY,B738
,EWR,ATL,B739
,YQG,AUS,B38M
,SUN,JAC,GLF5
,PWK,BWI,C56X
,ODT,TPA,B737
,SLC,LGU,C172
,PIK,ARW,K35R
,CUN,AYS,B38M
,ASG,CHC,C180
,TUO,CHC,TB20
,WIK,AKL,C208
,UBA,GRU,B38M
,CNF,GRU,A20N
,CGB,JHF,PC12
,AIZ,SWO,Unknown
,CPT,ROD,B733
,CAB,GIG,A35K
,CXY,FPO,E145
,GOZ,BUS,B77L
,AMS,LEJ,A306
,NUE,PMF,PC12
,SEN,AGP,C25A
,STN,MAN,B738
,ANU,LGW,B789
,MXP,BHX,A20N
,LHR,DUS,A20N
,QUG,LGW,A20N
,TEQ,LHR,A20N
,AMS,BOM,B789
,AMS,YRQ,B78X
,GDN,BTS,B738
,STN,NUE,B738
,PZY,PRG,Unknown
,EWR,YYZ,B39M
,REU,ILD,C172
,CIH,TYN,A319
,IXR,DOH,A20N
,XXN,RUH,A346
,AMM,CCE,A20N
,DDG,ZUH,A321
,TAY,POZ,B77W
,CAN,FUO,A333
,PHY,FUO,B738
,FUO,KMV,A20N
,NAY,PEK,A321
,SHQ,BNE,P337
,RKT,HYD,A20N
,BLR,STV,A20N
,NRT,GNI,B763
,TKS,SDS,DH8D
,BKK,TOD,B789
,CNN,SHJ,A320
,DPG,BTF,BEAR
,ADS,SAT,P28A
,STP,FRM,P28R
,UOX,SGF,E55P
,JCY,SAT,RV7
,SCF,PJB,PC12
,APC,AUN,C208
,ATE,PWA,SR22
,PBI,USA,CL35
,ADS,TRL,P28A
,TPA,EKN,Unknown
,YCM,IAD,B38M
,PDK,HDN,E545
,MSP,YCM,BCS3
,LCK,ORL,LJ35
,MIA,SAT,B763
,LAX,FBR,B738
,PUC,LAN,B763
,MHR,MAE,PIAT
,MRY,EMT,PA32
,LAX,LKV,B739
,IDA,LGU,C172
,DVT,TCM,E50P
,JVL,MRK,H25B
,OWB,BNA,LJ45
,GHM,BNA,C182
,JFK,SJU,A320
,GLE,LEX,C25C
,GWS,ORD,E75L
,ANC,YKM,E75L
,BOS,IAD,B739
,DAY,OSU,BE33
,ATL,MCO,B744
,ISO,MSP,C25B
,FLL,USC,A21N
,PHL,IAD,PC12
,BLD,AKO,B738
,RIC,SGU,GA6C
,TDZ,SGF,SB20
,GLB,PJB,BE35
,COS,LIC,PA24
,GLS,LJN,DA40
,LAW,AHD,C310
,PHL,MAD,B788
,DNS,ULM,B739
,MLB,SRQ,C68A
,GUP,BTR,A321
,HOU,JAX,B737
,DTW,NBG,B739
,CLT,GHM,B738
,RBK,CLD,C182
,OXC,RBD,PC12
,TEB,OPF,GA6C
,BNA,MKT,TBM9
,BLH,AUO,V22
,PWA,CLL,E6
,ZRH,YYZ,B77L
,YGR,YHU,SF34
,HLB,LOL,B38M
,BKE,SGU,B737
,YRQ,YQB,C172
,POO,REC,A21N
,DIQ,QGP,A20N
,SNZ,PNG,P46T
,CPM,HHR,Unknown
,JNB,WKF,E145
,JNB,WKF,A320
,EZE,CFB,B77L
,DIA,HSH,A35K
,MTY,NTR,B429
,MTT,NLU,C208
,AUS,RND,E55P
,SAW,IST,A320
,BVY,VIE,B789
,CDG,LCA,B738
,BZO,CIA,SR22
,JSI,SKP,A21N
,SAO,SSZ,GLF4
,AMS,GGW,B78X
,WRO,GUT,B738
,BUS,TEQ,A332
,BOJ,ESB,B739
,GNB,DWC,E190
,KSC,SCV,A20N
,SIF,AZH,A20N
,TPG,SZB,AT75
,MNL,TAG,A320
,TYN,ZUH,A319
,HUZ,FOC,B738
,CAN,HUZ,A332
,PKX,TYN,B738
,FUJ,PKX,A333
,NAY,SZH,B738
,CAN,HUZ,A21N
,BZG,TNA,A359
,KLR,OSL,B77L
,JFK,HKG,A35K
,NPL,CNS,A320
,HYD,IXC,A20N
,DEL,BOM,A21N
,KIX,CTS,A20N
,TPE,MZG,B77W
,LGB,FUL,C172
,VNY,ABE,GLF6
,TRL,MQY,B38M
,TNP,SEA,E75L
,POU,OXC,PC12
,ISJ,SPI,H25B
,LGU,DTA,S22T
,GUC,LBF,A21N
,TMB,APF,C208
,GYM,LAS,E55P
,DAL,RBD,E55P
,SLC,VEL,BCS3
,SLC,JOT,E75L
,BXK,PRC,RV14
,OAK,PBI,GLF5
,BCT,FXE,ECHO
,DTW,SEA,B737
,APF,LBE,C56X
,LCH,RNG,A21N
,FXE,FLL,H25B
,ABE,CID,CRJ7
,SFH,SBP,C56X
,MSY,HVE,A321
,LAS,MFE,C700
,LBB,CDS,C560
,GXY,TPA,C25B
,SAN,PHX,E75L
,AZO,GOA,FA7X
,BNA,ABQ,BE9L
,BCT,TYS,S22T
,RIF,OGD,PA23
,VNY,NTD,SLG4
,SBD,EMT,P28A
,PBG,MEM,B38M
,OPL,LAS,CL35
,PDK,ENL,B739
,EFD,PWA,BE35
,LRU,MCO,B738
,TPA,MDW,B738
,DEN,BJC,B38M
,MRI,AQY,MSQ2
,APA,PWK,H25B
,ATL,CHA,B739
,OCN,CLD,C172
,YXE,AUO,C680
,BRA,BMS,Unknown
,MCO,MYG,B38M
,SFN,AEP,A20N
,AFW,FTW,Unknown
,MIO,NRI,Unknown
,JNB,CPT,B738
,JNB,LRB,A320
,ARN,JKH,B77L
,NLU,VSA,B38M
,MEX,NTR,A20N
,MAD,CIA,A306
,LCY,GLA,E190
,WAW,LHR,A20N
,CDG,TLL,B738
,CPH,ARN,A320
,ATH,SPX,A21N
,BER,ARN,B738
,MLT,BOG,B78X
,VNO,MUC,E55P
,KUT,YEI,A332
,TEQ,YEI,B739
,FCO,PMO,A320
,MLA,LBG,CL60
,AQJ,IXE,A20N
,CCE,YQB,B789
,TAE,KPO,B738
,KAG,PUS,A21N
,DVO,CEB,AT76
,CEB,LBX,A321
,NAG,GAW,B77L
,HDG,AYN,A320
,TYN,PKX,B737
,HDG,FUO,A321
,PEK,TSN,A333
,CDE,PEK,B738
,KUT,HKG,A35K
,OAG,CUG,AS50
,PER,MWB,E290
,SYD,MRG,A320
,WAZ,WTB,DA40
,DEL,FJR,A320
,BOM,SUH,B738
,BOM,BLR,B38M
,NKM,KMJ,E75L
,HSG,OKJ,E170
,AXT,NKM,B738
,BKK,YAZ,B788
,ALA,EIY,B38M
,YLD,TPE,B77W
,FXE,KYO,P32R
,MCI,IDG,SR20
,FAT,RDM,E50P
,PIT,SFB,A320
,BJC,MVC,LJ60
,ABE,SLC,GLF5
,RSW,ROC,BCS3
,ABQ,BMC,AEST
,LAA,AVP,B38M
,PBI,SUA,E55P
,VDI,TLH,A321
,BDL,JAN,E55P
,DSI,AND,PA31
,SGU,OGD,EA50
,HNL,LUP,A332
,PGD,OCF,P28A
,RIC,ATL,CRJ2
,NTD,CPM,GYRO
,GNT,PSP,C25A
,HST,TNT,C172
,CGZ,AZA,T206
,AHH,RHI,C414
,TRM,CLD,C82S
,SUA,TPA,A320
,DFW,MOB,CRJ9
,BBX,PNE,C172
,SQA,LMT,E75L
,FLL,PNE,GALX
,WAL,TTN,C172
,AFF,COS,P28A
,CLR,MFH,BE36
,ODC,ADS,TBM9
,JFK,APF,CL35
,CNW,AZO,E170
,FMY,RSW,Unknown
,SYD,ICN,B744
,PJB,BGT,BE35
,EWR,GRU,GLF6
,SXY,CPR,A333
,SNK,HCA,C414
,ALB,HPN,SR22
,JAX,NRB,S22T
,KNB,TVL,B738
,MCO,SSI,B738
,LAX,CDC,PC12
,OSU,ORD,B738
,MFH,BMG,B739
,MGM,LBF,B38M
,SJC,SLC,CRJ2
,ROC,BNA,CRJ9
,ISJ,WIB,GALX
,SMO,SZP,RV7
,IDH,RFK,B39M
,FRY,BDL,BE20
,SFH,YVR,B38M
,IKB,YYZ,A320
,UBT,VCP,PC12
,MCZ,VCP,A21N
,GIG,BFH,DA62
,SCL,QRC,A20N
,TLX,KNA,A20N
,TIJ,SBD,Unknown
,RAL,SBD,Unknown
,JNB,HLA,H25B
,DAT,MCT,B77L
,JSH,SPJ,A359
,LED,RYB,B738
,HZP,ICS,B748
,SEF,CUN,A333
,LHR,VIE,A320
,PLS,NCA,GLF6
,LTN,KTW,GLF6
,VCE,AMS,B738
,FAO,OPO,B738
,MAD,PRG,B738
,PTK,MSY,GLEX
,SYO,ICN,B738
,ICN,MYJ,B738
,ICN,GMP,A21N
,XSP,SXT,AT75
,SFS,MNL,A321
,HKG,TSN,B738
,MFM,SZX,AJ27
,BNE,SHQ,P28A
,YLG,PER,E290
,BUY,KGI,PA31
,MQL,WEW,A320
,TCW,FLY,B738
,SGO,BNE,SF34
,DEL,FUO,A20N
,HYD,BLR,A21N
,CDP,BLR,B732
,AAC,DXB,B38M
,TPE,RRT,B77W
,WOT,LZN,AT76
,CPX,SJU,C402
,LCH,HEZ,E45X
,SKW,ANC,DH3T
,AVP,DFW,BCS1
,FLL,ADS,SF50
,MMU,MIT,GLEX
,AUS,SAD,A321
,MDW,GYY,E75L
,AVL,ORD,A321
,MIA,DCA,B38M
,FLL,MRK,A320
,MRN,AVL,B350
,SPW,UGN,C414
,SLK,FMH,C402
,PBI,UGN,G280
,OPF,FRG,F900
,SJU,HPN,CL30
,TUL,ADT,RV12
,MRY,MAE,C82T
,HGR,SJT,A319
,ESO,WDG,TBM9
,TNP,GYR,SR22
,FMY,AUW,C25M
,NEW,DFW,A21N
,MDW,BQN,E545
,MSN,RAP,EVOP
,HOU,VNY,GLF4
,PWK,ADS,LJ60
,RSW,SWF,H25C
,DEN,ATO,CRJ7
,FXE,UST,SR22
,LIT,FXE,EA50
,NLN,ACV,BE9L
,EWR,LCQ,A320
,IDA,ALW,E75L
,BAM,DTW,B752
,BXS,SBP,BE36
,SAT,STC,C25B
,TPA,AFF,GALX
,MMH,RBK,BE35
,HLR,GRK,C182
,CHS,ORD,E75L
,HOU,ALI,B350
