Callsign,Origin,Destination,Aircraft
,RNO,TYS,B738
,ORD,LAX,B738
,DDC,HOU,B738
,MIA,ICN,B748
,CXO,GLB,B738
,BID,EUG,B738
,ULM,MDW,B38M
,TNP,CMH,B38M
,SAR,BZN,B38M
,BLD,MSC,BE35
,LAR,FWA,CRJ2
,CDN,PBI,C68A
,YYZ,YHD,BCS3
,YUL,YOW,DH8D
,YYZ,USA,P180
,NPE,MRO,C172
,WTZ,AKL,MD52
,WLG,CHC,B752
,GIG,GVR,B738
,VAG,GRU,A21N
,MCS,CAC,A320
,PAQ,TYE,Unknown
,SMO,BLH,Unknown
,TOA,LGB,Unknown
,SAC,SCK,Unknown
,SZJ,TMB,BE9L
,CUN,ISJ,T206
,MEX,IAH,A321
,MUG,CEN,A20N
,GLS,MMC,LJ35
,LAS,CLD,G150
,FRA,SDR,CRJX
,DAG,VAR,B77W
,CDG,NCL,E190
,CDG,SNN,B738
,EZE,DTI,A359
,BOD,NCE,B738
,HKG,SZX,A359
,LBG,SOF,F2TH
,SMV,DRS,TBM9
,MAN,CEG,PA22
,LYP,CND,B772
,NCL,CEG,P68
,TIA,BRI,A321
,ORK,AMS,E295
,GDN,WAW,E75S
,BOM,DEL,B788
,WAW,POZ,B38M
,FAB,CPH,CL35
,AGP,SMV,E55P
,GVA,GOT,BCS3
,CDP,ZRH,CL60
,TZX,YEI,A321
,BBM,TYN,A359
,ESB,IST,A21N
,ELT,ERZ,B38M
,WRO,PSA,B738
,BRI,PMO,B738
,BXJ,ALA,A20N
,LUX,ATL,B748
,KEM,BGY,CL35
,GDN,AOI,A21N
,IFP,HSH,Unknown
,RUH,XXN,B77L
,MDO,LAS,B77W
,SIN,BKK,B744
,PUS,MWX,B738
,ATH,TLV,B788
,BWH,KUL,B738
,MMY,MNL,A321
,SIN,KUA,A359
,MYY,TNJ,E290
,SZX,CAN,A320
,HUZ,SZX,A320
,PEK,YTS,B789
,LZN,TNE,B77W
,FUJ,DKI,A359
,PEK,AYN,A359
,FUO,TYN,A21N
,ADL,XML,S22T
,BWU,CFS,B429
,ROK,SYD,DH8D
,PNQ,HYD,A21N
,BLR,DEL,A20N
,KIJ,KMJ,E170
,FKS,HND,E190
,BKK,DBO,A359
,CJB,SHJ,A320
,HLP,KJT,B738
,IAH,ATS,B738
,BLD,JAC,PC24
,OPF,SRQ,SR20
,ABR,VLE,A21N
,DAL,SWO,GA6C
,HWD,MMH,C240
,LYH,MTH,P28A
,CVG,RDU,CRJ9
,UIN,LWC,E545
,SCF,MLD,E50P
,FNL,APA,C172
,RNO,WLW,B737
,MUC,LIN,CL35
,EDC,RCK,R22
,RSL,BNA,B738
,PAQ,WWA,C170
,BLH,LUF,P28A
,GAD,ALX,C177
,PRC,CTW,P28B
,ISM,GCK,A20N
,LZU,MGE,C82T
,CNW,GCT,A21N
,JCY,ESF,C340
,AXV,ORD,E75L
,CLD,LGU,BE36
,COA,RHV,S22T
,BOG,GIR,A320
,LRU,VNY,GA6C
,DEN,SJC,A320
,SGU,KNB,BE20
,GUC,XNA,S22T
,BOS,LUP,A21N
,SEE,HSH,M20P
,DSI,JBR,BE58
,LUK,MRK,P46T
,NIR,SGR,BE20
,AZA,BTF,C182
,OCF,LEE,Unknown
,MCO,ANY,A21N
,MRC,SYI,C172
,FCY,DTW,A321
,LAS,STL,GLF6
,DEN,SMN,B739
,MKO,HPY,C82S
,CYS,BJC,SR22
,RGR,SJT,CRJ7
,SGR,OKC,C421
,ORD,PHX,CRJ7
,PYS,BNE,B772
,SGH,GSO,B39M
,MAD,CLT,B772
,POU,FPY,C550
,SAV,IAD,E75L
,CLT,ORD,A319
,SUS,POE,B738
,RBF,WJF,BE36
,SPZ,LIT,M7
,HMO,MOD,F900
,ADS,PNX,M20P
,ABQ,DFW,B738
,SAT,CLL,PA30
,SRQ,SUA,C25A
,MCO,TPA,A321
,GSO,SRW,EC35
,HNL,HHI,C172
,ORD,SLN,CRJ2
,TUS,TEB,C68A
,CNW,ADS,C172
,BUD,OGB,C17
,YYC,YCT,B737
,YUL,LEX,B38M
,KBZ,CHC,P28A
,BAT,REC,B738
,DTI,GRU,B738
,GIG,GRU,A21N
,SAO,BJP,EC30
,GRU,LOB,A21N
,BVU,WOW,Unknown
,RCK,GRK,Unknown
,LGB,CPM,Unknown
,XNA,SLG,Unknown
,JIW,WKF,B788
,PAZ,ACA,E190
,BZO,VBS,B407
,MAD,WKR,A333
,VIP,MAD,GLEX
,CDG,KUN,B738
,ORY,TLS,B738
,FRA,TSN,A359
,ZRH,INN,E55P
,LIN,AMS,E55P
,SZG,AMS,PC12
,SUA,MBG,A388
,DUB,BFS,R66
,BGY,SOF,A321
,NCE,BUD,BE40
,TRD,FLR,E295
,KRK,BZG,E75S
,WAW,ICN,B788
,JAM,WRO,B38M
,YGR,OPO,A21N
,ELT,URY,B738
,BUD,CPH,BCS3
,GJL,TYN,A343
,ECN,ESB,B738
,MZH,TEQ,A321
,MVQ,LNX,B738
,BOJ,FCO,A21N
,YEI,ANK,B38M
,ALA,BXJ,A20N
,BCM,SKV,B738
,FAB,LTN,CRJ2
,SUH,XXN,B77L
,GMP,KWJ,B738
,CJJ,GMP,SURN
,BXJ,TLV,B788
,MKZ,KUL,B738
,TST,PER,B738
,TNJ,MNL,A321
,MNL,MBO,A321
,SIN,LAX,B77L
,NAY,TDR,A359
,SUP,SIN,E290
,TSN,TNA,A320
,FUO,HDG,E195
,NAY,PKX,A20N
,HDG,AIN,B77W
,FUO,OOL,GLEX
,CCU,GAW,B77L
,SZX,LED,A359
,SIN,ZUH,A21N
,TSV,HGD,E190
,LST,HBA,B350
,BDB,MMG,B737
,PER,DOX,A319
,BLR,LKO,A20N
,BLR,BOM,A20N
,NRT,PXR,B763
,NGO,NRT,A359
,BNE,TAN,A320
,TPE,NRT,B744
,SMQ,CGK,A320
,COU,JEF,B06
,BFT,TLH,PC24
,GUF,LEX,M20P
,SFO,EKN,B752
,ORD,JAX,E75L
,LAA,HKY,A21N
,VAP,SNZ,GA6C
,VSA,DEN,B38M
,NEW,TCC,A321
,SEP,WEA,C172
,DIA,IAH,GLF6
,NQI,LMS,LJ45
,FTW,PWK,CL30
,SJU,FXE,GLF5
,BFI,PJB,CL60
,LAS,HOU,B737
,LOV,FRI,E75L
,DEN,PGO,B738
,SAN,AIO,C56X
,PTN,SAT,C441
,ECP,BRY,BE36
,BWI,PGD,A321
,MRI,DRF,PA32
,FUL,MHV,C177
,TRC,DAL,E55P
,IAH,APA,F900
,PBI,LNK,E55P
,ATL,DTW,A339
,TTB,VLC,C408
,RBD,CIN,M20P
,AZA,MSC,P28A
,AZA,MZJ,C172
,TBC,PHX,A21N
,PWA,COS,C560
,FTW,MKE,C25C
,SEE,CPM,M4
,BCB,ORF,C56X
,ZPH,PIE,FA20
,BXK,AZA,SR20
,NEW,JAN,DA62
,AHC,GCM,CL30
,SIG,BQN,G150
,IYK,MHV,P28A
,BNA,HHH,B350
,HCC,BTV,S22T
,DTW,ANB,CRJ7
,LPC,VBG,PA24
,IAD,SSI,C68A
,SBA,SQA,U21
,ANC,MRI,C185
,VNC,SRQ,C172
,RDU,USA,C172
,AKL,LAX,B772
,ELZ,TLH,B39M
,TUS,RWL,BE20
,SVH,BUF,C700
,RBK,HMT,C172
,SPZ,JBR,TBM8
,LGA,STL,B738
,PHX,OAK,B38M
,YYC,GCK,C680
,CEZ,FSU,A321
,HSH,FWH,FA50
,IAD,HOU,C68A
,FAT,WLW,B737
,LOV,DFW,B738
,HSH,SNA,C56X
,LBB,END,TEX2
,FPO,YQB,B38M
,NPE,PPQ,PA34
,SDU,PLU,Unknown
,SDU,SNZ,B738
,QNS,DOU,PC12
,RIV,NRS,Unknown
,HLI,SNS,Unknown
,RJK,CCE,A20N
,ANG,HSK,B738
,NYE,ASV,B738
,NBO,NYE,A359
,IXR,LVP,A359
,GUB,YUM,A321
,MAD,BCN,A20N
,BCN,MAD,Unknown
,CFE,CDG,Unknown
,CDG,LJU,B738
,JSH,MAN,LJ45
,FRA,LHR,A319
,BZZ,OXF,C42
,DWC,BSL,A332
,SEN,GCI,K100
,LEJ,CDG,DA42
,VIE,CND,A320
,OTP,DEB,A321
,AMS,ZAG,E295
,GWD,DWC,B762
,ZRH,WAW,CL35
,SIR,BMA,E55P
,LYC,UME,EC45
,AES,OSL,B738
,HLF,ARN,B738
,TNA,TUN,A343
,TIA,TEQ,B738
,BNJ,YEI,A321
,ANK,DOH,A359
,SAW,ESB,B38M
,JFK,LUX,B748
,RTM,LTN,CRJ2
,RUH,XXN,A20N
,CJJ,GMP,A321
,ICN,KJP,B738
,FUK,ICN,A21N
,ICN,HNL,B789
,HMY,HIN,SURN
,CGK,TOD,B738
,RNJ,MNL,A321
,MNL,LBX,A321
,BTH,HUZ,A359
,SIN,KUA,E290
,DAT,BXJ,B77W
,VNT,EPU,B77W
,SZX,HUZ,B738
,MFM,SZX,A321
,NGS,HUZ,A333
,HDG,TYN,B789
,CGK,SZX,A21N
,UCB,HKG,A359
,TNA,PKX,B733
,LTP,GVP,DH8D
,PER,YLG,A319
,BLR,HYD,A21N
,BOM,LKO,E35L
,HYD,CCU,Unknown
,HND,ITM,B738
,MSJ,HND,B772
,HKG,MNL,B77W
,HYD,CCJ,A320
,SYZ,LRR,B38M
,KIX,TPE,B744
,SBP,LVK,P32R
,UST,SUA,C172
,AVL,TOC,EC35
,ADW,DAA,EC35
,JAC,BTF,CRUZ
,NGO,SFS,GL7T
,HSH,HOU,B737
,SDX,CCB,PC12
,RDM,SGU,E55P
,AHN,HOU,C680
,TVI,SRQ,A320
,MSY,BWI,A20N
,MIA,UPB,B734
,APA,NPH,E55P
,SAV,BFT,B407
,MCI,ATL,B738
,JAC,LGU,P28A
,AFN,CON,EC35
,MKT,FRM,PA44
,SRF,NLN,PC12
,BRY,LOU,C172
,PHX,LAS,HDJT
,DAN,MCO,A320
,FTK,FLD,TBM7
,BNA,HTW,B738
,PLR,ETS,BE20
,DMA,MZJ,C150
,DDC,FXE,Unknown
,MEV,DVT,G150
,OLV,FFL,C210
,HTV,CXO,P28A
,DEN,PSP,E75L
,LCH,SAT,SR22
,FPO,PBI,BE36
,BOS,SUA,A320
,LIN,LTN,GLF6
,CTW,GYR,SR20
,ROW,GXY,CRJ2
,SCF,SAN,GLF4
,CDS,DFW,CRJ7
,CDS,ADS,BE36
,PSB,OSU,SR22
,JSH,SJC,GLEX
,MEX,ROS,B789
,JAC,CHA,H25B
,LVK,MMH,PA34
,CVG,DEN,B738
,SNA,PHK,C700
,BUF,ONT,A319
,PHL,CLT,B738
,LVK,OAK,C172
,MCO,HOU,B738
,LAS,EFD,C56X
,OJC,FCY,PC12
,PPA,SDF,C25A
,TOL,IGM,B38M
,CLD,BLD,C750
,BOS,SJU,A321
,DAL,ESO,E145
,SLW,MIA,C68A
,TDW,END,TEX2
,YWG,YDV,BE20
,ISJ,YEG,B38M
,YXS,YVR,DH8D
,CNF,GRU,B738
,YVR,CPQ,GLF6
,GIG,QAK,SF50
,GIG,QCJ,A21N
,FLN,SCL,A320
,SXQ,ENA,Unknown
,WEA,FWH,Unknown
,GCJ,QRA,Unknown
,AGA,EUN,B738
,DIA,LVP,A359
,FAU,DXB,B738
,JNB,PRY,CRJ2
,AZP,NLU,B38M
